,user_id,text
85,387370383,"Как думаете,по хакатону всем автомат поставят и можно не парится? Учитывая, что только несколько команд в финал пройдет, не могут же остальных завернуть. 

У меня из команды 3 человека так и не вышли на связь, да и оформлением я занимаюсь один, фотки для обучения тоже сам нашел."
86,387370383,"кто-нибудь нашел, кому по хакатону идеи скидывать?"
87,741613157,"Вода из-под крана и туалетная бумага для сотрудников - бесплатно | Пикабу
https://pikabu.ru/story/voda_izpod_krana_i_tualetnaya_bumaga_dlya_sotrudnikov__besplatno_9825433"
88,355018531,"То есть создаёшь репо, закидываешь файл и на сервере стримлит даёшь ссылку на гит в виде http"
89,355018531,Просто загрузи его туда и подтяни стримлит
90,153293033,
91,153293033,"главное быть не как все, кончено"
92,153293033,а чо у меня одного 40 баллов и удовлетворительно?
93,840841305,"Подскажите пожалуйста как сделать так, чтобы код с гугл коллаб работал на гитхабе? Вопрос в том что веб приложение на стримлите берет данные с гитхаб"
94,355018531,"Да, зачет"
95,880582901,все равно только зачет? Оценки же не будет?
96,1142697803,"Хорошо. Затянул с оформлением первых задач и тупо не уложился в тайминг (даже не понял, как пролетели полтора часа...). Одну задачу не успел решить."
97,1001969626,Что поставили? Отл? ))
98,1142697803,"Вопрос снимается, оценку только что поставили)"
99,1142697803,"Что-то хрень какая-то, сдавал в 1й группе и до сих пор нет оценки. Напишите кто-нить, у кого такая же ситуация. Есть кто-то из второй группы уже с оценкой?"
